-0.01  -0.11  1.11
-0.15  -0.32  1.02
-0.76  0.07  0.99
-0.83  0.35  1.02
0.18  -0.47  0.69
-0.56  0.64  0.70
-0.74  -0.07  0.28
-0.94  0.39  0.82
-0.85  0.04  1.14
-0.38  0.16  1.19
-0.69  0.30  1.05
0.01  0.73  1.24
0.49  -0.10  1.03
-0.39  -0.20  0.80
-0.63  0.31  1.00
-0.42  -0.30  0.72
0.22  -0.73  0.82
-0.04  -0.62  0.28
-0.45  -0.69  0.19
-1.17  -0.11  0.40
0.19  -0.60  0.44
-0.12  -0.16  0.72
0.15  0.02  0.92
0.32  -1.07  0.24
-0.55  -0.25  0.68
-0.42  -0.12  0.98
0.11  -0.97  0.13
-0.57  -0.40  0.28
-0.94  0.19  0.51
-0.05  -0.74  0.59
-0.98  0.48  0.02
-0.13  -0.37  -0.69
-1.09  -0.02  0.39
-0.84  0.34  -0.45
-0.40  -0.23  1.10
-0.07  -0.88  0.62
-1.00  0.32  -0.16
-0.06  -0.95  0.32
-0.61  -0.16  -0.24
-1.05  -0.04  0.20
-0.48  -0.63  0.40
