-0.05  -0.11  1.05
-0.08  0.01  1.11
-0.08  -0.02  1.00
-0.02  -0.04  0.99
0.07  0.00  1.08
0.13  -0.08  1.11
-0.09  0.06  0.98
-0.03  -0.09  0.97
-0.00  -0.03  1.10
-0.02  -0.13  1.02
-0.00  0.00  1.09
0.02  -0.08  1.02
-0.04  -0.06  1.06
-0.04  -0.04  1.09
-0.02  -0.17  1.00
-0.01  -0.10  1.05
-0.01  -0.04  0.95
-0.08  0.05  1.13
-0.09  -0.05  1.12
-0.16  -0.12  0.88
-0.16  -0.10  0.92
-0.03  -0.13  1.26
-0.09  -0.07  1.06
-0.14  -0.11  0.89
-0.02  -0.06  0.99
-0.04  -0.04  1.10
-0.08  -0.06  1.18
-0.14  -0.12  0.88
-0.09  -0.12  0.88
0.07  -0.12  1.21
-0.08  -0.09  1.15
-0.18  -0.03  0.89
-0.09  -0.06  0.83
0.01  -0.03  1.09
-0.10  -0.00  1.11
-0.14  -0.10  1.04
-0.13  -0.07  0.90
-0.01  -0.08  0.93
0.06  -0.12  1.27
-0.14  -0.17  1.27
-0.21  -0.16  0.95
-0.15  -0.10  0.79
-0.02  -0.02  1.02
-0.06  -0.04  1.18
-0.15  -0.14  1.16
-0.08  -0.16  0.96
-0.12  -0.13  0.86
-0.07  -0.19  1.19
-0.11  -0.16  1.24
-0.13  -0.11  1.07
-0.13  -0.14  0.85
-0.06  -0.11  1.05
-0.14  -0.11  1.14
-0.09  -0.11  1.09
-0.14  -0.12  0.81
-0.07  -0.13  1.04
-0.09  -0.18  1.25
-0.12  -0.19  1.00
-0.15  -0.13  0.85
-0.06  -0.11  1.02
-0.01  -0.16  1.17
-0.13  -0.15  1.01
-0.09  -0.13  0.85
-0.05  -0.16  1.04
-0.06  -0.13  1.22
-0.08  -0.11  1.12
-0.09  -0.07  0.93
-0.02  -0.13  0.97
-0.15  -0.09  1.12
-0.04  -0.17  1.16
-0.11  -0.08  0.88
0.01  -0.12  1.01
0.02  -0.09  1.22
-0.07  -0.15  1.08
-0.16  -0.08  0.89
-0.05  -0.14  1.02
-0.04  -0.08  1.13
-0.04  -0.12  1.17
-0.07  -0.14  0.95
-0.06  -0.07  0.89
-0.01  -0.14  1.18
-0.07  -0.16  1.23
-0.12  -0.13  1.01
-0.12  -0.08  0.85
-0.03  -0.06  1.07
-0.07  -0.07  1.18
-0.02  -0.05  1.11
-0.03  -0.05  0.98
-0.13  -0.12  1.09
0.01  -0.13  1.08
0.09  -0.10  1.06
0.01  -0.10  1.04
0.02  -0.10  1.04
0.01  -0.09  1.05
0.01  -0.10  1.06
-0.00  -0.11  1.04
0.01  -0.09  1.04
0.01  -0.10  1.05
0.02  -0.11  1.04
0.01  -0.09  1.05
